PR,BOI,2GO,ABAIR,Philippines
2T,TBS,Timbis Air,TIMBIS,Kenya
Q5,MLA,40-Mile Air,MILE-AIR,United States
4D,ASD,Air Sinai,AIR SINAI,Egypt
4R,SEK,Star East Airline [de; fa; it; pl],EAST RIDER,Romania
4O,MNE,Air Montenegro,MOUNT EAGLE,Montenegro
5W,WAZ,Wizz Air Abu Dhabi,WIZZ SKY,United Arab Emirates
7B,UBE,Bees Airline,FLOWER BEE,Ukraine
AQ,JYH,9 Air,TRANS JADE,China
BJ,ABJ,Abaeté Linhas Aéreas,ABAETE,Brazil
RL,ABG,Abakan-Avia,ROYAL FLIGHT,Russia
W9,AAB,Abelag Aviation,ABG,Belgium
M3,TUS,ABSA Cargo,Turismo,Brazil
GB,ABX,ABX Air,ABEX,United States
ZA,CYD,AccessAir,CYCLONE,United States
VX,AES,ACES Colombia,ACES,Colombia
KI,DHI,Adam Air,ADAM SKY,Indonesia
Z7*,ADK,ADC Airlines,ADCO,Nigeria
JP,ADR,Adria Airways,ADRIA,Slovenia
AN,WSN,Advanced Air,WINGSPAN,United States
A3,AEE,Aegean Airlines,AEGEAN,Greece
9D,CND,Aero Continente Dominicana,CONDOMINICANA,Dominican Republic
ML,AEK,Aero Costa Rica,ACORISA,Costa Rica
VF,TKJ,AJet,ANATOLIAN,Turkey
DW,UCR,Aero-Charter Ukraine,CHARTER UKRAINE,Ukraine
SU,AFL,Aeroflot,AEROFLOT,Russia
P3,PLS,Aeroflot-Plus,AEROPLUS,Russia
OB,AAT,Austrian Airtransport,AUSTRIAN CHARTER,Austria
SM,AAW,Allied Airways,nan,United Kingdom
KJ,AAZ,Asian Air,nan,Kyrgyzstan
YE,ACQ,Aryan Cargo Express,nan,India
VJ,AFF,Africa Airways,AFRIWAYS,Benin
QH,FLA,Air Florida,PALM,United States
3O,MAC,Air Arabia Maroc,ARABIA MAROC,Morocco
HD,ADO,AIRDO,AIR DO,Japan
UJ,LMU,AlMasria Universal Airlines,ALMASRIA,Egypt
A2,AWG,Animawings,ANIMA WINGS,Romania
X9,NVD,Avion Express,NORDVIND,Lithuania
3S*,AEN,Aeroland Airways,AEROLAND,Greece
JU,ASL,Air Serbia,AIR SERBIA,Serbia
QH,LYN,Air Kyrgyzstan,ALTYN AVIA,Kyrgyzstan
XK,CCM,Air Corsica,CORSICA,France
EI,EIN,Aer Lingus,SHAMROCK,Ireland
EG,EUK,Aer Lingus UK,GREEN FLIGHT,United Kingdom
A8,XAU,Aerolink Uganda,PEARL,Uganda
RV,ROU,Air Canada Rouge,ROUGE,Canada
7A,AZY,Aztec Worldwide Airlines,AZTEC WORLD,United States
6U,ACX,Air Cargo Germany,LOADMASTER,Germany
ZI,AAF,Aigle Azur,AIGLE AZUR,France
AE,AE,Air Ceylon,CEYLON,Sri Lanka
4K*,AAS,Askari Aviation,AL-ASS,Pakistan
8U,AAW,Afriqiyah Airways,AFRIQIYAH,Libya
Q9,AFU,Afrinat International Airlines,AFRINAT,Gambia
KI,AAG,Air Atlantique,ATLANTIC,United Kingdom
QB,AAJ,Air Alma,AIR ALMA,Canada
LD,AHK,Air Hong Kong,AIR HONG KONG,Hong Kong
2Y,ADW,Air Andaman,AIR ANDAMAN,Thailand
UX,AEA,Air Europa,EUROPA,Spain
IG,AEY,Air Italy,AIR ITALY,Italy
NX,AMU,Air Macau,AIR MACAO,Macao
6A,AMW,Armenia Airways,ARMENIA,Armenia
HM,SEY,Air Seychelles,SEYCHELLES,Seychelles
AF,AFR,Air France,AIRFRANS,France
SB,ACI,Air Caledonie International,AIRCALIN,France
EH,AKX,Air Nippon Network Co. Ltd.,ALFA WING,Japan
ED,AXE,AirExplore,GALILEO,Slovakia
ZW,AWI,Air Wisconsin,WISCONSIN,United States
YI,RSI,Air Sunshine,AIR SUNSHINE,United States
GN,AGN,Air Gabon,GOLF NOVEMBER,Gabon
9T,RUN,Air ACT,CARGO TURK,Turkey
ZB,ABN,Air Albania,AIR ALBANIA,Albania
3J,AAQ,Air Alliance,LIAISON,Canada
WP,ATW,Air Antwerp,DEVIL,Belgium
BX,ABL,Air Busan,AIR BUSAN,South Korea
LB,LEP,Air Costa,LECOSTA,India
GL,GRL,Air Greenland,GREENLAND,Greenland
3S,GUY,Air Guyane Express,GREEN BIRD,French Guiana
NQ,AJX,Air Japan,AIR JAPAN,Japan
IJ,LIB,Air Liberté,LIBERTE,France
TT,KLA,Air Lithuania,KAUNAS,Lithuania
QM,AIM,Air Malawi,MALAWI,Malawi
L6,AMI,Air Maldives,AIR MALDIVES,Maldives
ML,BIE,Air Mediterranee,MEDITERRANEE,France
P8,MKG,Air Mekong,MEKONG,Vietnam
4O,MNE,Air Montenegro,MOUNT EAGLE,Montenegro
NZ,ANZ,Air New Zealand,NEW ZEALAND,New Zealand
4N,ANT,Air North Charter - Canada,AIR NORTH,Canada
YP,APZ,Air Premia,AIR PREMIA,South Korea
ZX,ABL,Air BC,AIRCOACH,Canada
G8,AGB,Air Service Gabon,nan,Gabon
7T,AGV,Air Glaciers,AIR GLACIERS,Switzerland
6V,VGA,Air Vegas,AIR VEGAS,United States
NH,ANA,All Nippon Airways,ALL NIPPON,Japan
TZ,TWG,air-taxi Europe,TWINGOOSE,Germany
2Q,SNC,Air Cargo Carriers,NIGHT CARGO,United States
V7,SNG,Air Senegal International,AIR SENEGAL,Senegal
AB,BER,Air Berlin,AIR BERLIN,Germany
4D,ASD,Air Sinai,AIR SINAI,Egypt
QN,ARR,Air Armenia,AIR ARMENIA,Armenia
AI,AIC,Air India Limited,AIRINDIA,India
PJ,SPM,Air Saint Pierre,SAINT-PIERRE,France
SZ,WOW,Air Southwest,SWALLOW,United Kingdom
8C,ATN,Air Transport International,AIR TRANSPORT,United States
NF,AVN,Air Vanuatu,AIR VAN,Vanuatu
ZB,BUB,Air Bourbon,BOURBON,Reunion
CC,ABD,Air Atlanta Icelandic,ATLANTA,Iceland
RB,SBK,Air Srpska,Air Srpska,Bosnia and Herzegovina
TN,THT,Air Tahiti Nui,TAHITI AIRLINES,France
SW,NMB,Air Namibia,NAMIBIA,Namibia
AW,AFW,Africa World Airlines,BLACKSTAR,Ghana
PE,AEL,Air Europe Italy,AIR EUROPE,Italy
JM,AJM,Air Jamaica,JAMAICA,Jamaica
6G,AWW,Air Wales,RED DRAGON,United Kingdom
TX,FWI,Air Caraïbes,FRENCH WEST,France
IX,AXB,Air India Express,EXPRESS INDIA,India
BT,BTI,Air Baltic,AIRBALTIC,Latvia
EL,ANK,Air Nippon,ANK AIR,Japan
YW,ANE,Air Nostrum,AIR NOSTRUM,Spain
PX,ANG,Air Niugini,NIUGINI,Papua New Guinea
G9,ABY,Air Arabia,ARABIA,United Arab Emirates
AC,ACA,Air Canada,AIR CANADA,Canada
AP,LAV,AlbaStar,ALBASTAR,Spain
E9,MHS,Air Memphis,AIR MEMPHIS,Egypt
XT,AXL,Air Exel,EXEL COMMUTER,Netherlands
UM,AZW,Air Zimbabwe,AIR ZIMBABWE,Zimbabwe
S2,RSH,Air Sahara,SAHARA,India
TC,ATC,Air Tanzania,TANZANIA,Tanzania
2J,VBW,Air Burkina,BURKINA,Burkina Faso
KM,AMC,Air Malta,AIR MALTA,Malta
YT,TGA,Air Togo,AIR TOGO,Togo
G4,AAY,Allegiant Air,ALLEGIANT,United States
O4,ABV,Antrak Air,ANTRAK,Ghana
GB,ABX,Airborne Express,ABEX,United States
8T,TID,Air Tindi,TINDI,Canada
3L,ADY,Air Arabia Abu Dhabi,Nawras [6][7],United Arab Emirates
EM*,AEB,Aero Benin,AEROBEN,Benin
KD,AEN,Air Enterprise,AIR ENTERPRISE,France
AX,AAC,AmericanConnection[8],CONNECT AMERICA,United States
AN,AAA,Ansett Australia,ANSETT,Australia
5W,AEU,Astraeus,FLYSTAR,United Kingdom
VV,AEW,Aerosvit Airlines,AEROSVIT,Ukraine
WK,AFB,American Falcon,AMERICAN FALCON,Argentina
QQ,UTY,Alliance Airlines,UNITY,Australia
FG,AFG,Ariana Afghan Airlines,ARIANA,Afghanistan
RV*,AFI,Africaone,AFRICAWORLD,The Gambia
Y2,AFJ,Alliance Air,JAMBO,Uganda
5Z,AFX,Airfreight Express,nan,United Kingdom
5D,SLI,Aeroméxico Connect,COSTERA,Mexico
1A,AGT,Amadeus IT Group,AMADEUS,Spain
JJ,AGX,Aviogenex,GENEX,Serbia
PL,PLI,Aeroperú,Aeroperu,Peru
8A,BMM,Atlas Blue,ATLAS BLUE,Morocco
GD,AHA,Air Alpha Greenland,AIR ALPHA,Denmark
HT,AHW,Aeromist-Kharkiv,AEROMIST,Ukraine
J2,AHY,Azerbaijan Airlines,AZAL,Azerbaijan
U3,AIA,Avies,AVIES,Estonia
4Y,AIB,Airbus Industrie,AIRBUS INDUSTRIE,France
KJ,AIH,Air Incheon,AIR INCHEON,South Korea
RS,ASV,Air Seoul,AIR SEOUL,South Korea
5A,AIP,Alpine Air Express,ALPINE AIR,United States
PA,ABQ,Airblue,AIRBLUE,Pakistan
W4,BES,Aero Services Executive,BIRD EXPRESS,France
IZ,AIZ,Arkia Israel Airlines,ARKIA,Israel
M6,AJT,Amerijet International,AMERIJET,United States
4A,AKL,Air Kiribati,KIRIBATI,Kiribati
EV,ASQ,Atlantic Southeast Airlines,ACEY,United States
HP,AWE,America West Airlines,CACTUS,United States
6R,TNO,Aerotransporte de Carga Union,AEROUNION,Mexico
VH,ALV,Aeropostal Alas de Venezuela,AEROPOSTAL,Venezuela
DP,AMM,Air 2000,JETSET,United Kingdom
TZ,AMT,ATA Airlines,AMTRAN,United States
YJ,AMV,AMC Airlines,AMC AIRLINES,Egypt
AM,AMX,Aeroméxico,AEROMEXICO,Mexico
TL,ANO,Airnorth,TOPEND,Australia
OY,ANS,Andes Líneas Aéreas,AEROANDES,Argentina
IW,AOM,AOM French Airlines,French Lines,France
J6,AOC,AVCOM,AERO AVCOM,Russia
2D,AOG,Aero VIP,AVIP,Argentina
VB,VIV,Aeroenlaces Nacionales,AEROENLACES,Mexico
OE,AOT,Asia Overnight Express,ASIA OVERNIGHT,Philippines
GV,ARF,Aero Flight,Aero Fox,Germany
JW,APW,Arrow Air,BIG A,United States
2B,AWT,Albawings,ALBAWINGS,Albania
4C,ARE,Aires, Aerovías de Integración Regional, S.A.,AIRES,Colombia
AR,ARG,Aerolíneas Argentinas,ARGENTINA,Argentina
AS,ASA,Alaska Airlines, Inc.,ALASKA,United States
PL,ASE,Airstars,MOROZOV,Russia
OB,ASZ,Astrakhan Airlines,AIR ASTRAKHAN,Russia
HC,ATI,Aero-Tropics Air Services,AEROTROPICS,Australia
FO,ATM,Par Avion,AIRTAS,Australia
OS,AUA,Austrian Airlines,AUSTRIAN,Austria
IQ,AUB,Augsburg Airways,AUGSBURG-AIR,Germany
RU,ABW,AirBridge Cargo,AIRBRIDGE CARGO,Russia
GR,AUR,Aurigny Air Services,AYLINE,United Kingdom
NO,AUS,Aus-Air,AUS-AIR,Australia
AU,AUT,Austral Líneas Aéreas,AUSTRAL,Argentina
K8,ZAK,Airlink Zambia,nan,Zambia
4Y,BGA,Airbus Transport International,BELUGA,France
B9,BGD,Air Bangladesh,AIR BANGLA,Bangladesh
AK,AXM,AirAsia,RED CAP,Malaysia
D7,XAX,AirAsia X,XANADU,Malaysia
DJ,WAJ,AirAsia Japan,WING ASIA,Japan
I5,IAD,AirAsia India,ARIYA,India
6V,AXY,Axis Airways,AXIS,France
EX,BJK,Atlantic Airlines,BLACKJACK,United States
3G,AYZ,Atlant-Soyuz Airlines,ATLANT-SOYUZ,Russia
AZ,AZA,Alitalia,ALITALIA,Italy
ZE,AZE,Arcus-Air Logistic,ARCUS AIR,Germany
A2,AZI,Astra Airlines,ASTRA,Greece
R7,OCA,Aserca Airlines,AROSCA,Venezuela
RX,AEH,Aviaexpress,AVEX,Hungary
MQ,EGF,American Eagle Airlines,EAGLE FLIGHT,United States
ZS,AZI,Azzurra Air,AZZURRA,Italy
ML,ETC,African Transport Trading and Investment Company,TRANATTICO,Sudan
WI,WIL,Aero Air,WILLIAMETTE,United States
VU,VUN,Air Ivoire,AIRIVOIRE,Ivory Coast
BP,BOT,Air Botswana,BOTSWANA,Botswana
GS,UPA,Air Foyle,FOYLE,United Kingdom
VT,VTA,Air Tahiti,AIR TAHITI,French Polynesia
3N,URG,Air Urga,URGA,Ukraine
VL,VIM,Air VIA,CRYSTAL,Bulgaria
FK,WTA,Africa West,WEST TOGO,Togo
G2,VXG,Avirex,AVIREX-GABON,Gabon
V8,VAS,ATRAN Cargo Airlines,ATRAN,Russian Federation
K6,KHV,Angkor Air,AIR ANGKOR,Cambodia
CA,CCA,Air China,AIR CHINA,China
Q6,CDP,Aero Condor Peru,CONDOR-PERU,Peru
5F,CIR,Arctic Circle Air Service,AIR ARCTIC,United States
QC,CRD,Air Corridor,AIR CORRIDOR,Mozambique
NV,CRF,Air Central,AIR CENTRAL,Japan
CV,CVA,Air Chathams,CHATHAM,New Zealand
CW,CWM,Air Marshall Islands,AIR MARSHALLS,Marshall Islands
AH,DAH,Air Algérie,AIR ALGERIE,Algeria
ER,DHL,Astar Air Cargo,D-H-L,United States
EN,DLA,Air Dolomiti,DOLOMITI,Italy
NM,DRD,Air Madrid,ALADA AIR,Spain
6R,DRU,Alrosa Air Company,MIRNY,Russia
EE,EAY,Aero Airlines,REVAL,Estonia
4F,ECE,Air City,AIRCITY,Germany
E8,ELG,Alpi Eagles,ALPI EAGLES,Italy
RF,EOK,Aero K,AEROHANKUK,South Korea
KY,EQL,Air São Tomé and Príncipe,EQUATORIAL,São Tomé and Príncipe
E2/E6,EWE/EWL,Eurowings Europe,EUROPWINGS BLACK PEARL,Austria
PC,FAJ,Air Fiji,FIJIAIR,Fiji
JH,FDA,Fuji Dream Airlines,FUJI DREAM,Japan
OF,FIF,Air Finland,AIR FINLAND,Finland
FJ,FJI,Fiji Airways,PACIFIC,Fiji
RC,FLI,Atlantic Airways,FAROELINE,Faroe Islands
QH,FLZ,Aero Leasing,AIR FLORIDA,United States
NY,FXI,Air Iceland,FAXI,Iceland
2P,GAP,Air Philippines,ORIENT PACIFIC,Philippines
ZX,GGN,Air Georgian,GEORGIAN,Canada
2U,GIP,Air Guinee Express,FUTURE EXPRESS,Guinea
0A,GNT,Amber Air,GINTA,Lithuania
DA,GRG,Air Georgia,AIR GEORGIA,Georgia
LL,GRO,Allegro,ALLEGRO,Mexico
5Y,GTI,Atlas Air,GIANT,United States
GG,GUY,Air Guyane,GREEN BIRD,French Guiana
H9,HAD,Air d'Ayiti,HAITI AVIA,Haiti
GG,HAH,Air Comores International,AIR COMORES,Comoros
HD,HLN,Air Holland,ORANGE,Netherlands
8C,HZT,Air Horizon,HORIZON TOGO,Togo
W9,JAB,Air Bagan,AIR BAGAN,Myanmar
IP,JOL,Atyrau Air Ways,EDIL,Kazakhstan
QK,JZA,Air Canada Jazz,JAZZ,Canada
KK,KKK,Atlasjet,ATLASJET,Turkey
JS,KOR,Air Koryo,AIR KORYO,North Korea
KC,KZR,Air Astana,ASTANALINE,Kazakhstan
LV,LBC,Albanian Airlines,ALBANIAN,Albania
3S,BOX,Aerologic,GERMAN CARGO,Germany
QP,AKJ,Akasa Air,AKASA AIR,India
H7,LFA,Air Alfa,AIR ALFA,Turkey
D4,LID,Alidaunia,ALIDA,Italy
9I,LLR,Air India Regional,ALLIED,India
4Z,LNK,Airlink,LINK,South Africa
FL,LPA,Air Leap,LEAP,Sweden
A6,LPV,Air Alps Aviation,ALPAV,Austria
TD,LUR,Atlantis European Airways,ATLANTIS,Armenia
L8,LXG,Air Luxor GB,LUXOR GOLF,Guinea-Bissau
LK,LXR,Air Luxor,AIRLUXOR,Portugal
MK,MAU,Air Mauritius,AIRMAURITIUS,Mauritius
MD,MDG,Air Madagascar,AIR MADAGASCAR,Madagascar
9U,MLD,Air Moldova,AIR MOLDOVA,Moldova
L9,MLI,Air Mali,AIR MALI,Mali
A7,MPD,Air Plus Comet,RED COMET,Spain
QO,MPX,Aeromexpress,AEROMEXPRESS,Mexico
MR,MRT,Air Mauritanie,MIKE ROMEO,Mauritania
SM,MSC,Air Cairo,AIR CAIRO,Egypt
F4,NBK,Albarka Air,AL-AIR,Nigeria
AJ,NIG,Aero Contractors,AEROLINE,Nigeria
8Y,PBU,Air Burundi,AIR-BURUNDI,Burundi
OT,PEL,Aeropelican Air Services,PELICAN,Australia
AD,PRZ,Air Paradise International,RADISAIR,Indonesia
QD,QCL,Air Class Líneas Aéreas,ACLA,Uruguay
QS,QSC,African Safari Airways,ZEBRA,Kenya
4Y,RBU,Airbus France,AIRBUS FRANCE,France
AG,ARU,Aruba Airlines,ARUBA,Aruba
MC,RCH,Air Mobility Command,REACH,United States
RE,REA,Aer Arann,AER ARANN,Ireland
UU,REU,Air Austral,REUNION,France
ZP,AZP,Amaszonas Paraguay,GUARANI,Paraguay
6K,RIT,Asian Spirit,ASIAN SPIRIT,Philippines
A5,RLA,Airlinair,AIRLINAIR,France
NZ,RLK,Air Nelson,NELSON,New Zealand
QL,RLN,Aero Lanka,AERO LANKA,Sri Lanka
R3,RME,Armenian Airlines,ARMENIAN,Armenia
MV,RML,Air Mediterranean,HELLASMED,Greece
2O,RNE,Air Salone,AIR SALONE,Sierra Leone
U8,RNV,Armavia,ARMAVIA,Armenia
BQ,ROM,Aeromar Lineas Aereas Dominicanas,BRAVO QUEBEC,Dominican Republic
P5,RPB,AeroRepública,AEROREPUBLICA,Colombia
E4,RSO,Aero Asia International,AERO ASIA,Pakistan
BF,RSR,Aero-Service,CONGOSERV,Republic of the Congo
5L,RSU,AeroSur,AEROSUR,Bolivia
EX,SDO,Air Santo Domingo,AERO DOMINGO,Dominican Republic
JR,SER,Aero California,AEROCALIFORNIA,Mexico
Z3,SMJ,Avient Aviation,AVAVIA,Zimbabwe
M3,SPJ,Air Service,AIR SKOPJE,Macedonia
8D*,SUW,Astair,nan,Russian Federation
GM,SVK,Air Slovakia,SLOVAKIA,Slovakia
R3,SYL,Aircompany Yakutia,AIR YAKUTIA,Russia
HC,SZN,Air Senegal,AIR SENEGAL,Senegal
VW,TAO,Aeromar,TRANS-AEROMAR,Mexico
JY,TCI,Air Turks and Caicos,KERRMONT,Turks and Caicos Islands
CG,TOK,Airlines PNG,BALUS,Papua New Guinea
TY,TPC,Air Calédonie,AIRCAL,France
FL,TRS,AirTran Airways,CITRUS,United States
TS,TSC,Air Transat,AIR TRANSAT,Canada
EC,TWN,Avialeasing Aviation Company,TWINARROW,Uzbekistan
U7,UGA,Air Uganda,UGANDA,Uganda
6U,UKR,Air Ukraine,AIR UKRAINE,Ukraine
KO,AER,Alaska Central Express,ACE AIR,United States
KH,AAH,Aloha Air Cargo,ALOHA,United States
AQ,AAH,Aloha Airlines,ALOHA,United States
AA,AAL,American Airlines,AMERICAN,United States
WD*,AAN,Amsterdam Airlines,AMSTEL,Netherlands
HO,DJA,Antinea Airlines,ANTINEA,Algeria
OZ,AAR,Asiana Airlines,ASIANA,South Korea
AG,ABR,ASL Airlines Ireland,CONTRACT,Ireland
8V,ACP,Astral Aviation,ASTRAL CARGO,Kenya
XM,XME,Australian airExpress,AUS-CARGO,Australia
AO,AUZ,Australian Airlines,AUSTRALIAN,Australia
XP,VXP,Avelo Airlines,AVELO,United States
VE,AVE,Avensa,AVENSA,Venezuela
6A,CHP,Aviacsa,AVIACSA,Mexico
AV,AVA,Avianca,AVIANCA,Colombia
A0,MCJ,Avianca Argentina,JETMAC,Argentina
O6,ONE,Avianca Brasil,OCEAN AIR,Brazil
2K,GLG,Avianca Ecuador,GALAPAGOS,Ecuador
V5,VLI,Avolar Aerolíneas,AEROVOLAR,Mexico
AD,AZU,Azul Linhas Aéreas Brasileiras,Azul,Brazil
CJ,CFE,BA CityFlyer,FLYER,United Kingdom
TH,BRT,BA Connect,BRITISH,United Kingdom
B4,BCF,BACH Flugbetriebsges,BACH,Austria
J4,BDR,Badr Airlines,BADR AIR,Sudan
UP,BHS,Bahamasair,BAHAMAS,Bahamas
8Q*,BAJ,Baker Aviation,RODEO,United States
V9,BTC,BAL Bashkirian Airlines,BASHKIRIAN,Russia
LZ,LAZ,Balkan Bulgarian Airlines,BALKAN,Bulgaria
BQ,BTL,Baltia Air Lines,BALTIA,United States
QH,BAV,Bamboo Airways,BAMBOO,Vietnam
QO,AJC,Bar Harbor Airlines,BAR HARBOR,United States
B3,BTN,Bhutan Airlines,BHUTAN AIR,Bhutan
L9,BAL,Belle Air Europe,BELLEAIR EUROPE,Italy
BA,BAW,British Airways,SPEEDBIRD,United Kingdom
BG,BBC,Biman Bangladesh Airlines,BANGLADESH,Bangladesh
BO,BBD,Bluebird Nordic,BLUE CARGO,Iceland
BO,BBW,BB Airways,BEEBEE AIRWAYS,Nepal
SI,BCI,Blue Islands,BLUE ISLAND,United Kingdom
EO,BCL,British Caribbean Airways,nan,United Kingdom
WX,BCY,CityJet,CITY JET,Ireland
