PR,BOI,2GO,ABAIR,Philippines
YS,RAE,Régional,REGIONAL EUROPE,France
FN,RGL,Regional Air Lines,MAROC REGIONAL,Morocco
ZL,RXA,Regional Express,REX,Australia
P7,REP,Regional Paraguaya,REGIOPAR,Paraguay
3C,CEA,RegionsAir,CORP-X,United States
QQ,ROA,Reno Air,RENO AIR,United States
RC,REP,Republic Airlines,REPUBLIC,United States
YX,RPA,Republic Airways,BRICKYARD,United States
RH,RPH,Republic Express Airlines,PUBLIC EXPRESS,Indonesia
C7,RLE,Rico Linhas Aéreas,RICO,Brazil
E2,GRN,Rio Grande Air,GRANDE,United States
RL,RIO,Rio Linhas Aéreas,RIO,Brazil
SL,RSL,Rio Sul Serviços Aéreos Regionais,RIO SUL,Brazil
RX,RXI,Riyadh Air,RIYADH AIR,Saudi Arabia
V2,RBY,Vision Airlines,RUBY,United States
FV,SDM,Rossiya,RUSSIA,Russia
GZ,RAR,Air Rarotonga,AIR RAROTONGA,Cook Islands
RR,RFR,Royal Air Force,RAFAIR,United Kingdom
RS,MJN,Royal Air Force of Oman,MAJAN,Oman
AT,RAM,Royal Air Maroc,ROYALAIR MAROC,Morocco
RW,RYL,Royal Air Philippines,DOUBLE GOLD,Philippines
R0,RPK,Royal Airlines,ROYAL PAKISTAN,Pakistan
V5,RYL,Royal Aruban Airlines,ROYAL ARUBAN,Aruba
BI,RBA,Royal Brunei Airlines,BRUNEI,Brunei
RJ,RJA,Royal Jordanian,JORDANIAN,Jordan
RK,RCT,Skyview Airways,GREENSKY,THAILAND
RK,RKH,Royal Khmer Airlines,KHMER AIR,Cambodia
RL,PPW,Royal Phnom Penh Airways,PHNOM-PENH AIR,Cambodia
RR,RYS,Buzz (Ryanair),MAGIC SUN,Poland
WR,HRH,Royal Tongan Airlines,TONGA ROYAL,Tonga
P7,ESL,Russian Sky Airlines,RADUGA,Russia
5R,RUC,Rutaca,RUTACA,Venezuela
WB,RWD,Rwandair Express,RWANDAIR,Rwanda
7S,RYA,Ryan Air Services,RYAN AIR,United States
RD,RYN,Ryan International Airlines,RYAN INTERNATIONAL,United States
FR,RYR,Ryanair,RYANAIR,Ireland
RK,RUK,Ryanair UK,BLUEMAX,United Kingdom
RT,BUG,UVT Aero,nan,Russia
TR,TGW,Scoot,SCOOTER,Singapore
IJ,SJO,Spring Airlines Japan,JEY SPRING,Japan
6Y,ART,Smartlynx Airlines,SMART LYNX,Latvia
QS,TVS,Smartwings,SKYTRAVEL,Czech Republic
7O,TVL,Smartwings Hungary,TRAVEL SERVICE,Hungary
3Z,TVP,Smartwings Poland,JETTRAVEL,Poland
6D,TVQ,Smartwings Slovakia,SLOVAKTRAVEL,Slovakia
E3,VGO,Sabaidee Airways,VIRGO,Thailand
GG,KYE,Sky Lease Cargo,SKY CUBE,United States
BQ,SWU,Sky Alps,SKYALPS,Italy
GW,SGR,SkyGreece Airlines,SKYGREECE,Greece
SH,SHA,Sharp Airlines,SHARP,Australia
N9,SHA,Shree Airlines,SHREEAIR,Nepal
7E,AWU,Sylt Air GmbH,SYLT-AIR,Germany
OL,SZB,Samoa Air,SAMOA,Samoa
S4,RZO,SATA International,AIR AZORES,Portugal
SA,SAA,South African Airways,SPRINGBOK,South Africa
KV,SKV,Sky Regional Airlines,MAPLE,Canada
W7,SAH,Sayakhat Airlines,SAYAKHAT,Kazakhstan
NL,SAI,Shaheen Air,SHAHEEN AIR,Pakistan
MM,SAM,SAM Colombia,SAM,Colombia
SK,SAS,Scandinavian Airlines,SCANDINAVIAN,Sweden, Denmark and Norway
SA,SAX,Sabah Air,SABAH AIR,Malaysia
PI,SGU,Sol del Paraguay,SOLPARAGUAYO,Paraguay
UG,TUX,Tunisair Express,TUNEXPRESS,Tunisia
S7,SBI,S7 Airlines,SIBERIAN AIRLINES,Russia
Q7,SBM,SkyBahamas,SKY BAHAMAS,Bahamas
4E,SBO,Stabo Air,STABAIR,Zambia
BB,SBS,Seaborne Airlines,SEABORNE,United States
PV,SBU,St Barth Commuter,BLACK FIN,France
S5,SDG,Star Air (India),HISTAR,India
JX,SJX,Starlux Airlines,STARWALKER,Taiwan
K5,SQH,SeaPort Airlines,SASQUATCH,United States
YR,SCE,Grand Canyon Scenic Airlines,SCENIC,United States
W3,SCL,Switfair Cargo,SWIFTAIR,Canada
FP,AND,Servicios Aéreos de los Andes,SERVI ANDES,Peru
SY,SCX,Sun Country Airlines,SUN COUNTRY,United States
SG,SEJ,Spicejet,SPICEJET,India
I6,SEQ,Sky Eyes,SKY EYES,Thailand
EH,SET,SAETA Air Ecuador,SAETA,Ecuador
7G,SFJ,StarFlyer,STARFLYER,Japan
FA,SFR,Safair,CARGO,South Africa
N5,SGY,Skagway Air Service,SKAGWAY AIR,United States
HZ,SHU,Sakhalinskie Aviatrassy (SAT),SATAIR,Russia
SP,SAT,SATA Air Acores,SATA,Portugal
ZY,SHY,Sky Airlines,ANTALYA BIRD,Turkey
SQ,SIA,Singapore Airlines,SINGAPORE,Singapore
5M,SIB,Sibaviatrans,SIBAVIA,Russia
SI,SIH,Skynet Airlines,BLUEJET,Ireland
3M,SIL,Silver Airways,SILVER WINGS,United States
XS,SIT,SITA,nan,Belgium
SJ,SJY,Sriwijaya Air,SRIWIJAYA,Indonesia
ZS,SMY,Sama Airlines,NAJIM,Saudi Arabia
SQ,SQC,Singapore Airlines Cargo,SINGCARGO,Singapore
FT,SRH,Siem Reap Airways,SIEMREAP AIR,Cambodia
SX,SRK,Sky Work Airlines,SKYFOX,Switzerland
SM,SRL,Swedline Express,Starline,Sweden
P8,SRN,SprintAir,SPRINTAIR,Poland
D2,SSF,Severstal Air Company,SEVERSTAL,Russia
VD,BBB,SwedJet Airways,BLACKBIRD,Sweden
QF,SSQ,Sunstate Airlines,SUNSTATE,Australia
5G,SSV,Skyservice Airlines,SKYTOUR,Canada
RE,STK,Stobart Air,STOBART,Ireland
FS,STU,Servicios de Transportes Aéreos Fueguinos,FUEGUINO,Argentina
SD,SUD,Sudan Airways,SUDANAIR,Sudan
PI,SUF,Sun Air (Fiji),SUNFLOWER,Fiji
LW,FDY,Sun Air International,FRIENDLY,United States
EZ,SUS,Sun-Air of Scandinavia,SUNSCAN,Denmark
SV,SVA,Saudia,SAUDIA,Saudi Arabia
WN,SWA,Southwest Airlines,SOUTHWEST,United States
A4,SWD,Southern Winds Airlines,SOUTHERN WINDS,Argentina
WG,SWG,Sunwing Airlines,SUNWING,Canada
WQ,SWQ,Swift Air (Interstate Equipment Leasing),SWIFTFLIGHT,United States
LX,SWR,Swiss International Air Lines,SWISS,Switzerland
SR,SWR,Swissair,SWISSAIR,Switzerland
SR,SDR,Sundair,SUNDAIR,Germany
LZ[54],SWU,Swiss Global Air Lines,EUROSWISS,Switzerland
WV,SWV,Swe Fly,FLYING SWEDE,Sweden
S8,SWW,Shovkoviy Shlyah,WAY AERO,Ukraine
Q4,SWX,Swazi Express Airways,SWAZI EXPRESS,Swaziland
WO,WSW,Swoop,SWOOP,Canada
S8,SWZ,Skywise Airline,SKYWISE,South Africa
XQ,SXS,SunExpress,SUNEXPRESS,Turkey
RB,SYR,Syrian Arab Airlines,SYRIANAIR,Syrian Arab Republic
AL,SYX,Skywalk Airlines,SKYWAY-EX,United States
ZP,AZQ,Silk Way Airlines,SILK LINE,Azerbaijan
7L,AZG,Silk Way West Airlines,SILK WEST,Azerbaijan
E5,BRZ,Samara Airlines,BERYOZA,Russia
E5,RBG,Air Arabia Egypt,ARABIA EGYPT,Egypt
SC,CDG,Shandong Airlines,SHANDONG,China
SK,CNO,SAS Braathens,SCANOR,Norway
9C,CQH,Spring Airlines,AIR SPRING,China
3U,CSC,Sichuan Airlines,SI CHUAN,China
FM,CSH,Shanghai Airlines,SHANGHAI AIR,China
ZH,CSZ,Shenzhen Airlines,SHENZHEN AIR,China
8C,CXI,Corendon Airlines Europe,TOURIST,Malta
7L,ERO,Sun D'Or,ECHO ROMEO,Israel
NE,ESK,SkyEurope,RELAX,Slovakia
CQ,EXL,Sunshine Express Airlines,nan,Australia
SO,HKA,Superior Aviation,SPEND AIR,United States
KI,SJB,SKS Airways,SOUTHER TIGER,Malaysia
TE,IGA,Skytaxi,IGUANA,Poland
JK,JKK,Spanair,SPANAIR,Spain
RZ*,LRS,Sansa,nan,Costa Rica
2G*,MRR,San Juan Airlines,MARINER,United States
1Z,APD,Sabre Pacific,nan,Australia
NK,NKS,Spirit Airlines,SPIRIT WINGS,United States
S0,OKS,Slok Air Gambia,SLOK GAMBIA,Gambia
SO,OSL,Sosoliso Airlines,SOSOLISO,Nigeria
VA,VOZ,Virgin Australia Regional Airlines,VELOCITY,Australia
5S,PSV,Servicios Aéreos Profesionales,PROSERVICIOS,Dominican Republic
1I,PZR,Sky Trek International Airlines,PHAZER,United States
SX,SKB,Skybus Airlines,SKYBUS,United States
RU,SKI,SkyKing Turks and Caicos Airways,SKYKING,Turks and Caicos Islands
S3,BBR,Santa Barbara Airlines,SANTA BARBARA,Venezuela
XT,SKT,SkyStar Airways,SKY YOU,Thailand
H2,SKU,Sky Airline,AEROSKY,Chile
OO,SKW,SkyWest Airlines,SKYWEST,United States
JZ,SKX,Skyways Express,SKY EXPRESS,Sweden
BC,SKY,Skymark Airlines,SKYMARK,Japan
LJ,SLA,Sierra National Airlines,SELAIR,Sierra Leone
MI,SLK,SilkAir,SILKAIR,Singapore
6Q,SLL,Slovak Airlines,SLOV LINE,Slovakia
PY,SLM,Surinam Airways,SURINAM,Suriname
E8,SMK,Semeyavia,ERTIS,Kazakhstan
NB,SNB,Sterling Airlines,STERLING,Denmark
6J,SNJ,Solaseed Air,NEWSKY,Japan
SL,SNK,Southeast Airlines (Sun Jet International),SUN KING,United States
IE,SOL,Solomon Airlines,SOLOMON,Solomon Islands
ZS,SOP,Solinair,SOLINAIR,Slovenia
9X,SOU,Southern Airways,SOUTHERN EXPRESS,United States
6W,SOV,Saratov Airlines Joint Stock Company,SARATOV AIR,Russia
HZ,SOZ,Sat Airlines,SATCO,Kazakhstan
HK,SPI,South Pacific Island Airways,SOUTH PACIFIC,United States
S5,TCF,Shuttle America,MERCURY,United States
C7,UZS,Samarkand Airways,SOGDIANA,Uzbekistan
DV,VSV,SCAT Airlines,VLASTA,Kazakhstan
F2,XLK,Safarilink Aviation,SAFARILINK,Kenya
O3,CSS,SF Airlines,SHUN FENG,China
PQ,SQP,SkyUp,SKYUP,Ukraine
S5,LLC,Small Planet Airlines,SMALL PLANET,Lithuania
P7,LLP,Small Planet Airlines,SKYPOL,Poland
P2,LLI,Small Planet Airlines,AURIGA,Italy
5P,LLX,Small Planet Airlines,GERMANJET,Germany
UL,ALK,SriLankan Airlines,SRILANKAN,Sri Lanka
DJ,SRR,Star Air,WHITESTAR,Denmark
V9,HCW,Star1 Airlines,STAR1,Lithuania
Q4,TLK,Starlink Aviation,STARLINK,Canada
XG,SXD,Sunexpress Deutschland,SUNRISE,Germany
SO,AAS,Sunshine Airlines,nan,nan
1L,OSY,Open Skies Consultative Commission,OPEN SKIES,United States
DT,DTA,TAAG Angola Airlines,DTA,Angola
VR,TCV,TACV,CABOVERDE,Cape Verde
TI,TWI,Tailwind Airlines,TAILWIND,Turkey
PZ,LAP,TAM Mercosur,PARAGUAYA,Paraguay
EQ,TAE,TAME,TAME,Ecuador
QT,TPA,TAMPA,TAMPA,Colombia
TQ,TDM,Tandem Aero,TANDEM,Moldova
TP,TAP,TAP Portugal,AIR PORTUGAL,Portugal
K3,TQN,Taquan Air Services,TAQUAN,United States
RO,ROT,Tarom,TAROM,Romania
HJ,TMN,Tasman Cargo Airlines,TASMAN,Australia
SF,DTH,Tassili Airlines,TASSILI AIR,Algeria
T6,TVR,Tavrey Airlines,TAVREY,Ukraine
L6,VNZ,Tbilaviamsheni,TBILAVIA,Georgia
L9,TLW,Teamline Air,Teamline,Austria
U8,CYF,Tel Aviv Air,TUS AIR,Germany
K9,TEZ,TezJet,Tezjet,Kyrgyzstan
T2,TCG,Thai Air Cargo,THAI CARGO,Thailand
FD,AIQ,Thai AirAsia,THAI ASIA,Thailand
XJ,TAX,Thai AirAsia X,EXPRESS WING,Thailand
TG,THA,Thai Airways International,THAI,Thailand
SL,TLM,Thai Lion Mentari,MENTARI,Thailand
9I,LLR,Thai Sky Airlines,THAI SKY AIR,Thailand
WE,THD,Thai Smile Airways,THAI SMILE,Thailand
T9,TSX,Thai Star Airlines,THAI STAR,Thailand
VZ,TVJ,Thai Vietjet Air,THAIVIET JET,Thailand
HQ,TCW,Thomas Cook Airlines,KESTREL,Belgium
MT,TCX,Thomas Cook Airlines,KESTREL,United Kingdom
GS,GCR,Tianjin Airlines,BO HAI,China
3P,TNM,Tiara Air,TIARA,Aruba
TT,TGG,Tigerair Australia,TIGGOZ,Australia
TR,TGW,Tigerair Singapore,GO CAT,Singapore
IT,TTW,Tigerair Taiwan,SMART CAT,Taiwan
ZT,AWC,Titan Airways,ZAP,United Kingdom
3V,TAY,TNT Airways,QUALITY,Belgium
7T,TOB,Tobruk Air,TOBRUK AIR,Libya
TI,TOL,Tol-Air Services,TOL AIR,United States
TJ,GPD,Tradewind Aviation,GOODSPEED,United States
TL,TMA,Trans Mediterranean Airlines,TANGO LIMA,Lebanon
AX,LOF,Trans States Airlines,WATERSKI,United States
TW,TWA,Trans World Airlines,TWA,United States
UN,TSO,Transaero Airlines,TRANSOVIET,Russia
GE,TNA,TransAsia Airways,nan,Taiwan
TO,TVF,Transavia France,FRANCE SOLEIL,France
HV,TRA,Transavia Holland,TRANSAVIA,Netherlands
AL,TXC,TransAVIAexport Airlines,TRANSEXPORT,Belarus
TR,TBA,Transbrasil,TRANSBRASIL,Brazil
UE,TEP,Transeuropean Airlines,TRANSEURLINE,Russia
T9,TRZ,TransMeridian Airlines,TRANS-MERIDIAN,United States
TH,RMY,Raya Airways,TRANSMILE,Malaysia
TX,TAN,Transportes Aéreos Nacionales,nan,Honduras
OF,TML,Transports et Travaux Aériens de Madagascar,TAM AIRLINE,Madagascar
9T,ABS,Transwest Air,ATHABASKA,Canada
S5,TSJ,Trast Aero,TRAST AERO,Kyrgyzstan
GY,TMG,Tri-MG Intra Asia Airlines,TRILINES,Indonesia
T4,TIB,TRIP Linhas Aéreas,TRIP,Brazil
PM,TOS,Tropic Air,TROPISER,Belize
M7,TBG,Tropical Airways,nan,Haiti
TZ,TDS,Tsaradia,TSARADIA,Madagascar
BY,TOM,TUI Airways,TOM JET,United Kingdom
TB,JAF,TUI fly Belgium,BEAUTY,Belgium
X3,TUI,TUI fly Deutschland,TUI JET,Germany
OR,TFL,TUI fly Netherlands,ORANGE,Netherlands
6B,BLX,TUI fly Nordic,BLUESCAN,Sweden
TD,TLP,Tulip Air,TULIPAIR,Netherlands
UG,TUX,Tuninter,nan,Tunisia
TU,TAR,Tunisair,TUNAIR,Tunisia
3T,URN,Turan Air,TURAN,Azerbaijan
TK,THY,Turkish Airlines,TURKISH,Turkey
T5,TUA,Turkmenistan Airlines,TURKMENISTAN,Turkmenistan
TW,TWB,T'way Air,TWAYAIR,Republic of Korea
T7,TJT,Twin Jet,TWINJET,France
VO,TYR,Tyrolean Airways,TYROLEAN,Austria
VNX,TKK,flyADVANCED,TARKA,United States
B7,UIA,UNI Air,GLORY,Taiwan
UA,UAL,United Airlines,UNITED,United States
4H,UBD,United Airways,UNITED BANGLADESH,Bangladesh
U7,JUS,USA Jet Airlines,JET USA,United States
U6,SVR,Ural Airlines,SVERDLOVSK AIR,Russia
QU,UGA,Uganda Airlines (1976–2001),UGANDA,Uganda
UR,UGD,Uganda Airlines,CRESTED,Uganda
UF,UKM,UM Airlines,UKRAINE MEDITERRANEE,Ukraine
6Z,UKS,Ukrainian Cargo Airways,CARGOTRANS,Ukraine
OL,ULS,Ultra Air,AIR ULTRA,Colombia
5X,UPS,United Parcel Service,UPS,United States
US,AWE,US Airways,CACTUS,United States
BS,UBG,US-Bangla Airlines,BANGLA STAR,Bangladesh
UH,USH,US Helicopter,US-HELI,United States
QU,UTN,Skyline Express (airline),Skyline Express Airline,Ukraine
UT,UTA,UTair Aviation,UTAIR,Russia
HY,UZB,Uzbekistan Airways,UZBEK,Uzbekistan
PS,AUI,Ukraine International Airlines,UKRAINE INTERNATIONAL,Ukraine
JW,VNL,Vanilla Air,VANILLA,Japan
VU,VAG,Vietravel Airlines,VIETRAVEL AIR,Vietnam
VB,VIV,VivaAerobus,VIVA,Mexico
VA,VOZ,Virgin Australia,VELOCITY,Australia
VF,VLU,Valuair,VALUAIR,Singapore
J7,VJA,ValuJet Airlines,CRITTER,United States
0V,VFC,Vietnam Air Services Company (VASCO),VASCO AIR,Vietnam
VC,VAL,Voyageur Airways,VOYAGEUR,Canada
VN,HVN,Vietnam Airlines,VIET NAM,Vietnam
NN,MOV,VIM Airlines,MOV AIR,Russia
Y4,VOI,Volaris,VOLARIS,Mexico
VI,VDA,Volga-Dnepr Airlines,VOLGA,Russia
VX,VRD,Virgin America,REDWOOD,United States
VJ,VJC,Vietjet Air,VIETJET,Vietnam
V4,VES,Vieques Air Link,VIEQUES,United States
TV,VEX,Virgin Express,VIRGIN EXPRESS,Belgium
VK,VGN,Virgin Nigeria Airways,VIRGIN NIGERIA,Nigeria
VS,VIR,Virgin Atlantic,VIRGIN,United Kingdom
ZG,VVM,Viva Macau,JACKPOT,Macao
VE,VLE,C.A.I. Second,VOLA,Italy
VY,VLG,Vueling Airlines,VUELING,Spain
XF,VLK,Vladivostok Air,VLADAIR,Russia
LC,VLO,Varig Logística,VELOG,Brazil
VM,VOA,Viaggio Air,VIAGGIO,Bulgaria
VP,VQI,Villa Air,VILLA AIR,Maldives
9V,VPA,Vipair Airlines,VIAIR,Kazakhstan
RG,VRN,Varig,VARIG,Brazil
VH,VVC,Viva Air Colombia,Viva Air Colombia,Colombia
VP,VSP,VASP,VASP,Brazil
V7,VOE,Volotea,VOLOTEA,Spain
VG,VLM,VLM Airlines,RUBENS,Belgium
G6,WLG,Air Volga,GOUMRAK,Russia
UK,VTI,Vistara,Vistara,India
WD,WDL,WDL Aviation,WDL,Germany
WT,WSG,Wasaya Airways,WASAYA,Canada
WH,WEB,WebJet Linhas Aéreas,WEB-BRASIL,Brazil
2W,WLC,Welcome Air,WELCOMEAIR,Austria
WZ,WSF,West African Airlines,nan,Benin
PN,CHB,West Air (China),WEST CHINA,China
T2,SWN,West Atlantic Sweden,AIR SWEDEN,Sweden
YH,WCW,West Caribbean Airways,WEST,Colombia
8O,YWZ,West Coast Air,COAST AIR,Canada
WS,WJA,WestJet,WESTJET,Canada
ST*,STT,Western Aircraft, Inc,SAWTOOTH,United States
WA,WAL,Western Airlines,WESTERN,United States
W7,KMR,Western Pacific Airlines,KOMSTAR,United States
CN,WWD,Westward Airways,WESTWARD,United States
WF,WIF,Widerøe,WIDEROE,Norway
WC,WAA,Wien Air Alaska,WIEN,United States
IV,JET,Wind Jet,GHIBLI,Italy
7W,QGA,Windrose Air,QUADRIGA,Germany
IW,WON,Wings Air,WINGS ABADI,Indonesia
8Z,WVL,Wizz Air Bulgaria,WIZZBUL,Bulgaria
W6,WZZ,Wizz Air,WIZZAIR,Hungary
W4,WMT,Wizz Air Malta,WIZZ AIR MALTA,Malta
W9,WUK,Wizz Air UK,WIZZ GO,United Kingdom
WO,WOA,World Airways,WORLD,United States
UI,CSW,SW Italia,SILKITALIA,Italy
WW,WOW,WOW air,WOW air,Iceland
8V,WRF,Wright Air Service,WRIGHT FLYER,United States
KW,WAN,Wataniya Airways,WATANIYA,Kuwait
3W*,VNR,Wan Air,WANAIR,French Polynesia
WR,WEN,WestJet Encore,ENCORE,Canada
7A,XRC,Express Air Cargo,TUNISIA CARGO,Tunisia
MF,CXA,Xiamen Airlines,XIAMEN AIR,China
SE,SEU,XL Airways France,STARWAY,France
XN,XAR,XpressAir,XPRESS,Indonesia
YL,LLM,Yamal Airlines,YAMAL,Russia
R3,SYL,Yakutia Airlines,AIR YAKUTIA,Russia
Y8,YZR,Suparna Airlines,YANGTZE RIVER,China
Y0,EMJ,Yellow Air Taxi/Friendship Airways,nan,United States
IY,IYE,Yemenia,YEMENI,Yemen
YT,NYT,Yeti Airlines,YETI AIRLINES,Nepal
4Y,TUD,Yute Air Alaska,TUNDRA,United States
2N,UMK,Yuzhmashavia,YUZMASH,Ukraine
C4,IMX,Zimex Aviation,ZIMEX,Switzerland
Q3,MBN,Zambian Airways,ZAMBIANA,Zambia
3J,WZP,Zip,ZIPPER,Canada
ZG,TZP,Zipair Tokyo,ZIPPY,Japan
Z4,OOM,Zoom Airlines,ZOOM,Canada
N3,VOS,Volaris El Salvador,VOLARIS,El Salvador
